fuzzing - glib:fuzz_bookmark                                           OK
fuzzing - glib:fuzz_canonicalize_filename                              OK
fuzzing - glib:fuzz_data_input_stream_read_line                        OK
fuzzing - glib:fuzz_data_input_stream_read_line_utf8                   OK
fuzzing - glib:fuzz_data_input_stream_read_upto                        OK
fuzzing - glib:fuzz_date_parse                                         OK
fuzzing - glib:fuzz_date_time_new_from_iso8601                         OK
fuzzing - glib:fuzz_dbus_message                                       OK
fuzzing - glib:fuzz_filename_from_uri                                  OK
fuzzing - glib:fuzz_filename_to_uri                                    OK
fuzzing - glib:fuzz_get_locale_variants                                OK
fuzzing - glib:fuzz_inet_address_mask_new_from_string                  OK
fuzzing - glib:fuzz_inet_address_new_from_string                       OK
fuzzing - glib:fuzz_inet_socket_address_new_from_string                OK
fuzzing - glib:fuzz_key                                                OK
fuzzing - glib:fuzz_network_address_parse                              OK
fuzzing - glib:fuzz_network_address_parse_uri                          OK
fuzzing - glib:fuzz_paths                                              OK
fuzzing - glib:fuzz_resolver                                           OK
fuzzing - glib:fuzz_special_dirs                                       OK
fuzzing - glib:fuzz_string                                             OK
fuzzing - glib:fuzz_uri_escape                                         OK
fuzzing - glib:fuzz_uri_parse                                          OK
fuzzing - glib:fuzz_uri_parse_params                                   OK
fuzzing - glib:fuzz_utf8_normalize                                     OK
fuzzing - glib:fuzz_utf8_validate                                      OK
fuzzing - glib:fuzz_uuid_string_is_valid                               OK
fuzzing - glib:fuzz_variant_binary                                     OK
fuzzing - glib:fuzz_variant_binary_byteswap                            OK
fuzzing - glib:fuzz_variant_text                                       OK
gio - glib:appinfo                                                     OK   10 subtests passed
gio - glib:application-command-line                                    OK   1 subtests passed
gio - glib:appmonitor                                                  ERROR   killed by signal 6 SIGABRT
gio - glib:async-close-output-stream                                   OK   3 subtests passed
gio - glib:async-splice-output-stream                                  OK   5 subtests passed
gio - glib:autoptr-gio                                                 OK   1 subtests passed
gio - glib:buffered-input-stream                                       OK   10 subtests passed
gio - glib:buffered-output-stream                                      OK   5 subtests passed
gio - glib:cancellable                                                 OK   17 subtests passed
gio - glib:contenttype                                                 OK   3 subtests passed
gio - glib:contexts                                                    OK   5 subtests passed
gio - glib:converter                                                   OK   3 subtests passed
gio - glib:converter-stream                                            ERROR   killed by signal 6 SIGABRT
gio - glib:credentials                                                 OK   1 subtests passed
gio - glib:data-input-stream                                           OK   10 subtests passed
gio - glib:data-output-stream                                          OK   7 subtests passed
gio - glib:error                                                       OK   2 subtests passed
gio - glib:file                                                        OK   41 subtests passed
gio - glib:file-enumerator                                             OK   1 subtests passed
gio - glib:file-thumbnail                                              OK   7 subtests passed
gio - glib:fileattributematcher                                        OK   3 subtests passed
gio - glib:filenamecompleter                                           OK   1 subtests passed
gio - glib:filter-streams                                              OK   4 subtests passed
gio - glib:g-file                                                      OK   8 subtests passed
gio - glib:g-file-info                                                 OK   5 subtests passed
gio - glib:g-file-info-filesystem-readonly                             SKIP   0 subtests passed
gio - glib:g-icon                                                      OK   7 subtests passed
gio - glib:gdbus-address-get-session                                   OK   2 subtests passed
gio - glib:gdbus-addresses                                             OK   9 subtests passed
gio - glib:gdbus-connection-flush                                      OK   2 subtests passed
gio - glib:gdbus-message                                               OK   3 subtests passed
gio - glib:gdbus-non-socket                                            OK   1 subtests passed
gio - glib:gdbus-peer                                                  OK   12 subtests passed
gio - glib:gdbus-peer-object-manager                                   OK   2 subtests passed
gio - glib:gdbus-sasl                                                  OK   1 subtests passed
gio - glib:gdbus-serialization                                         OK   18 subtests passed
gio - glib:gdbus-server-auth                                           OK   10 subtests passed
gio - glib:giomodule                                                   OK   3 subtests passed
gio - glib:glistmodel                                                  OK   18 subtests passed
gio - glib:gschema-compile                                             OK   82 subtests passed
gio - glib:gsettings                                                   ERROR   killed by signal 6 SIGABRT
gio - glib:gsocketclient-slow                                          OK   4 subtests passed
gio - glib:gsubprocess                                                 OK   83 subtests passed
gio - glib:inet-address                                                ERROR   killed by signal 6 SIGABRT
gio - glib:io-stream                                                   OK   3 subtests passed
gio - glib:iptosmessage                                                ERROR   killed by signal 6 SIGABRT
gio - glib:live-g-file                                                 OK   12 subtests passed
gio - glib:max-version                                                 OK   1 subtests passed
gio - glib:memory-input-stream                                         OK   6 subtests passed
gio - glib:memory-monitor                                              OK   1 subtests passed
gio - glib:memory-output-stream                                        OK   10 subtests passed
gio - glib:memory-settings-backend                                     OK   1 subtests passed
gio - glib:mimeapps                                                    OK   13 subtests passed
gio - glib:mount-operation                                             OK   2 subtests passed
gio - glib:network-address                                             OK   72 subtests passed
gio - glib:network-monitor                                             OK   4 subtests passed
gio - glib:network-monitor-race                                        OK   1 subtests passed
gio - glib:null-settings-backend                                       OK   1 subtests passed
gio - glib:permission                                                  OK   1 subtests passed
gio - glib:pollable                                                    OK   4 subtests passed
gio - glib:power-profile-monitor                                       OK   1 subtests passed
gio - glib:proxy-test                                                  OK   11 subtests passed
gio - glib:readwrite                                                   OK   3 subtests passed
gio - glib:resolver-parsing                                            OK   21 subtests passed
gio - glib:resources                                                   OK   18 subtests passed
gio - glib:sandbox                                                     OK   4 subtests passed
gio - glib:simple-async-result                                         OK   2 subtests passed
gio - glib:simple-proxy                                                OK   3 subtests passed
gio - glib:sleepy-stream                                               OK   2 subtests passed
gio - glib:socket                                                      OK   30 subtests passed
gio - glib:socket-address                                              OK   2 subtests passed
gio - glib:socket-listener                                             OK   4 subtests passed
gio - glib:socket-service                                              OK   4 subtests passed
gio - glib:srvtarget                                                   OK   1 subtests passed
gio - glib:stream-rw_all                                               OK   3 subtests passed
gio - glib:task                                                        OK   36 subtests passed
gio - glib:thumbnail-verification                                      OK   1 subtests passed
gio - glib:tls-bindings                                                OK   2 subtests passed
gio - glib:tls-certificate                                             OK   19 subtests passed
gio - glib:tls-database                                                OK   1 subtests passed
gio - glib:tls-interaction                                             OK   42 subtests passed
gio - glib:trash                                                       OK   3 subtests passed
gio - glib:unix-fd                                                     OK   2 subtests passed
gio - glib:unix-mounts                                                 ERROR   killed by signal 6 SIGABRT
gio - glib:unix-streams                                                OK   5 subtests passed
gio - glib:vfs                                                         OK   3 subtests passed
gio - glib:volumemonitor                                               OK   3 subtests passed
gio - glib:win32-appinfo                                               OK   5 subtests passed
gio+cpp - glib:cxx                                                     OK
gio+cpp - glib:cxx-03                                                  OK
gio+cpp - glib:cxx-11                                                  OK
gio+cpp - glib:cxx-14                                                  OK
gio+cpp - glib:cxx-17                                                  OK
gio+cpp - glib:cxx-20                                                  OK
gio+cpp - glib:cxx-23                                                  OK
gio+cpp - glib:cxx-2c                                                  OK
gio+cpp - glib:cxx-98                                                  OK
gio+no-valgrind - glib:gdbus-tool.py                                   SKIP   0 subtests passed
gio+no-valgrind - glib:gio-tool.py                                     OK   9 subtests passed
gio+no-valgrind+gdbus-codegen+slow - glib:codegen.py                   OK   45 subtests passed
gio+no-valgrind+pkg-config - glib:gio-2.0-pkg-config                   OK
gio+no-valgrind+pkg-config - glib:gio-unix-2.0-pkg-config              OK
gio+portal-support - glib:portal-support-env-var                       OK   1 subtests passed
gio+portal-support - glib:portal-support-flatpak-full                  OK   1 subtests passed
gio+portal-support - glib:portal-support-flatpak-gsettings-only        OK   1 subtests passed
gio+portal-support - glib:portal-support-flatpak-network-only          OK   1 subtests passed
gio+portal-support - glib:portal-support-flatpak-none                  OK   1 subtests passed
gio+portal-support - glib:portal-support-none                          OK   1 subtests passed
gio+portal-support - glib:portal-support-snap                          OK   7 subtests passed
gio+portal-support - glib:portal-support-snap-classic                  OK   3 subtests passed
gio+slow - glib:testfilemonitor                                        ERROR   killed by signal 6 SIGABRT
girepository+core - glib:cmph-bdz                                      OK   2 subtests passed
girepository+core - glib:dump                                          OK   5 subtests passed
girepository+core - glib:gthash                                        OK   1 subtests passed
glib+core - glib:1bit-mutex                                            OK   2 subtests passed
glib+core - glib:array-test                                            OK   116 subtests passed
glib+core - glib:asyncqueue                                            OK   7 subtests passed
glib+core - glib:atomic                                                OK   2 subtests passed
glib+core - glib:autoptr                                               OK   57 subtests passed
glib+core - glib:base64                                                OK   28 subtests passed
glib+core - glib:bitlock                                               OK   2 subtests passed
glib+core - glib:bookmarkfile                                          OK   96 subtests passed
glib+core - glib:bytes                                                 OK   21 subtests passed
glib+core - glib:cache                                                 OK   1 subtests passed
glib+core - glib:charset                                               OK   2 subtests passed
glib+core - glib:checksum                                              OK   1851 subtests passed
glib+core - glib:collate                                               SKIP   0 subtests passed
glib+core - glib:completion                                            OK   1 subtests passed
glib+core - glib:cond                                                  OK   3 subtests passed
glib+core - glib:constructor                                           OK   2 subtests passed
glib+core - glib:convert                                               ERROR   killed by signal 6 SIGABRT
glib+core - glib:dataset                                               OK   15 subtests passed
glib+core - glib:date                                                  OK   119 subtests passed
glib+core - glib:dir                                                   OK   3 subtests passed
glib+core - glib:environment                                           OK   6 subtests passed
glib+core - glib:error                                                 OK   10 subtests passed
glib+core - glib:fileutils                                             OK   26 subtests passed
glib+core - glib:gtester-xmllint-check                                 OK
glib+core - glib:gutils-user-database                                  ERROR   killed by signal 6 SIGABRT
glib+core - glib:guuid                                                 OK   2 subtests passed
glib+core - glib:gwakeup                                               OK   2 subtests passed
glib+core - glib:gwakeup-fallback                                      OK   2 subtests passed
glib+core - glib:hash                                                  OK   34 subtests passed
glib+core - glib:hmac                                                  OK   37 subtests passed
glib+core - glib:hook                                                  OK   2 subtests passed
glib+core - glib:hostutils                                             OK   4 subtests passed
glib+core - glib:include                                               OK   1 subtests passed
glib+core - glib:io-channel                                            OK   3 subtests passed
glib+core - glib:io-channel-basic                                      OK   1 subtests passed
glib+core - glib:keyfile                                               OK   37 subtests passed
glib+core - glib:list                                                  OK   20 subtests passed
glib+core - glib:logging                                               TIMEOUT   killed by signal 15 SIGTERM
glib+core - glib:macros                                                OK   3 subtests passed
glib+core - glib:mainloop                                              OK   47 subtests passed
glib+core - glib:mappedfile                                            OK   7 subtests passed
glib+core - glib:mapping                                               ERROR   killed by signal 16 SIGUSR1
glib+core - glib:markup                                                OK   1 subtests passed
glib+core - glib:markup-collect                                        OK   21 subtests passed
glib+core - glib:markup-escape                                         OK   42 subtests passed
glib+core - glib:markup-parse                                          OK   71 subtests passed
glib+core - glib:markup-subparser                                      OK   14 subtests passed
glib+core - glib:max-version                                           OK   1 subtests passed
glib+core - glib:mem-overflow                                          OK   2 subtests passed
glib+core - glib:memchunk                                              OK   1 subtests passed
glib+core - glib:monotonic-time                                        OK   5 subtests passed
glib+core - glib:mutex                                                 OK   17 subtests passed
glib+core - glib:node                                                  OK   6 subtests passed
glib+core - glib:once                                                  OK   5 subtests passed
glib+core - glib:onceinit                                              OK   1 subtests passed
glib+core - glib:option-argv0                                          OK   1 subtests passed
glib+core - glib:option-context                                        OK   61 subtests passed
glib+core - glib:overflow                                              OK   6 subtests passed
glib+core - glib:overflow-fallback                                     OK   6 subtests passed
glib+core - glib:pathbuf                                               OK   3 subtests passed
glib+core - glib:pattern                                               OK   90 subtests passed
glib+core - glib:poll-fdset                                            SKIP   0 subtests passed
glib+core - glib:print                                                 SKIP   0 subtests passed
glib+core - glib:private                                               OK   8 subtests passed
glib+core - glib:protocol                                              OK   9 subtests passed
glib+core - glib:queue                                                 OK   12 subtests passed
glib+core - glib:rand                                                  OK   2 subtests passed
glib+core - glib:rcbox                                                 OK   8 subtests passed
glib+core - glib:rec-mutex                                             OK   29 subtests passed
glib+core - glib:refcount                                              OK   4 subtests passed
glib+core - glib:refcount-macro                                        OK   4 subtests passed
glib+core - glib:refstring                                             OK   8 subtests passed
glib+core - glib:regex                                                 OK   851 subtests passed
glib+core - glib:relation                                              OK   1 subtests passed
glib+core - glib:rwlock                                                OK   8 subtests passed
glib+core - glib:scannerapi                                            OK   8 subtests passed
glib+core - glib:search-utils                                          OK   6 subtests passed
glib+core - glib:shell                                                 OK   52 subtests passed
glib+core - glib:slice                                                 OK   4 subtests passed
glib+core - glib:slist                                                 OK   14 subtests passed
glib+core - glib:sort                                                  OK   5 subtests passed
glib+core - glib:spawn-multithreaded                                   OK   4 subtests passed
glib+core - glib:spawn-path-search                                     OK   7 subtests passed
glib+core - glib:spawn-singlethread                                    OK   9 subtests passed
glib+core - glib:spawn-test                                            OK   2 subtests passed
glib+core - glib:strfuncs                                              OK   51 subtests passed
glib+core - glib:string                                                ERROR   killed by signal 6 SIGABRT
glib+core - glib:strvbuilder                                           OK   7 subtests passed
glib+core - glib:test-printf                                           OK   22 subtests passed
glib+core - glib:testing                                               OK   45 subtests passed
glib+core - glib:testing-nonfatal                                      OK
glib+core - glib:thread                                                OK   6 subtests passed
glib+core - glib:thread-deprecated                                     OK   6 subtests passed
glib+core - glib:thread-pool                                           OK   5 subtests passed
glib+core - glib:timeout                                               OK   5 subtests passed
glib+core - glib:timer                                                 OK   10 subtests passed
glib+core - glib:tree                                                  OK   7 subtests passed
glib+core - glib:types                                                 OK   1 subtests passed
glib+core - glib:unicode                                               OK   40 subtests passed
glib+core - glib:unicode-encoding                                      ERROR   killed by signal 6 SIGABRT
glib+core - glib:unicode-normalize                                     OK   3 subtests passed
glib+core - glib:unix                                                  OK   22 subtests passed
glib+core - glib:uri                                                   OK   24 subtests passed
glib+core - glib:utf8-misc                                             OK   7 subtests passed
glib+core - glib:utf8-performance                                      OK   36 subtests passed
glib+core - glib:utf8-pointer                                          OK   3 subtests passed
glib+core - glib:utf8-private                                          OK   2 subtests passed
glib+core - glib:utf8-validate                                         OK   238 subtests passed
glib+core - glib:utils                                                 OK   41 subtests passed
glib+core - glib:utils-isolated                                        OK   11 subtests passed
glib+core - glib:utils-unisolated                                      OK   1 subtests passed
glib+core+cc - glib:atomic-c-11                                        OK   2 subtests passed
glib+core+cc - glib:atomic-c-17                                        OK   2 subtests passed
glib+core+cc - glib:atomic-c-23                                        OK   2 subtests passed
glib+core+cc - glib:atomic-c-89                                        OK   2 subtests passed
glib+core+cc - glib:atomic-c-99                                        OK   2 subtests passed
glib+core+cc - glib:macros-c-11                                        OK   4 subtests passed
glib+core+cc - glib:macros-c-17                                        OK   4 subtests passed
glib+core+cc - glib:macros-c-23                                        OK   4 subtests passed
glib+core+cc - glib:macros-c-89                                        OK   4 subtests passed
glib+core+cc - glib:macros-c-99                                        OK   4 subtests passed
glib+core+cc - glib:utils-c-11                                         OK   41 subtests passed
glib+core+cc - glib:utils-c-17                                         OK   41 subtests passed
glib+core+cc - glib:utils-c-23                                         OK   41 subtests passed
glib+core+cc - glib:utils-c-89                                         OK   41 subtests passed
glib+core+cc - glib:utils-c-99                                         OK   41 subtests passed
glib+core+cpp - glib:cxx                                               OK   22 subtests passed
glib+core+cpp - glib:cxx-03                                            OK   22 subtests passed
glib+core+cpp - glib:cxx-11                                            OK   22 subtests passed
glib+core+cpp - glib:cxx-14                                            OK   23 subtests passed
glib+core+cpp - glib:cxx-17                                            OK   23 subtests passed
glib+core+cpp - glib:cxx-20                                            OK   23 subtests passed
glib+core+cpp - glib:cxx-23                                            OK   23 subtests passed
glib+core+cpp - glib:cxx-2c                                            OK   22 subtests passed
glib+core+cpp - glib:cxx-98                                            OK   22 subtests passed
glib+core+no-valgrind - glib:assert-msg-test.py                        OK   2 subtests passed
glib+core+no-valgrind - glib:messages-low-memory.py                    OK   1 subtests passed
glib+core+no-valgrind+pkg-config - glib:glib-2.0-pkg-config            OK
glib+core+slow - glib:1bit-emufutex                                    OK   2 subtests passed
glib+core+slow - glib:642026                                           OK   1 subtests passed
glib+core+slow - glib:642026-ec                                        OK   1 subtests passed
glib+core+slow - glib:gdatetime                                        OK   58 subtests passed
glib+core+slow - glib:gvariant                                         OK   71 subtests passed
glib+core+slow - glib:sequence                                         OK   16 subtests passed
glib+core+slow - glib:thread-pool-slow                                 OK   7 subtests passed
gmodule - glib:max-version                                             OK   1 subtests passed
gmodule - glib:module-test-library                                     OK   3 subtests passed
gmodule - glib:module-test-plugin                                      OK   3 subtests passed
gmodule+cpp - glib:cxx                                                 OK
gmodule+cpp - glib:cxx-03                                              OK
gmodule+cpp - glib:cxx-11                                              OK
gmodule+cpp - glib:cxx-14                                              OK
gmodule+cpp - glib:cxx-17                                              OK
gmodule+cpp - glib:cxx-20                                              OK
gmodule+cpp - glib:cxx-23                                              OK
gmodule+cpp - glib:cxx-2c                                              OK
gmodule+cpp - glib:cxx-98                                              OK
gmodule+no-valgrind+pkg-config - glib:gmodule-2.0-pkg-config           OK
gmodule+no-valgrind+pkg-config - glib:gmodule-export-2.0-pkg-config    OK
gmodule+no-valgrind+pkg-config - glib:gmodule-no-export-2.0-pkg-config OK
gobject - glib:accumulator                                             OK   1 subtests passed
gobject - glib:autoptr                                                 OK   6 subtests passed
gobject - glib:basic-signals                                           OK   1 subtests passed
gobject - glib:basics-gobject                                          OK   1 subtests passed
gobject - glib:binding                                                 OK   19 subtests passed
gobject - glib:bindinggroup                                            OK   11 subtests passed
gobject - glib:boxed                                                   OK   27 subtests passed
gobject - glib:closure                                                 OK   6 subtests passed
gobject - glib:custom-dispatch                                         OK   2 subtests passed
gobject - glib:defaultiface                                            OK   2 subtests passed
gobject - glib:deftype                                                 OK
gobject - glib:deprecated-properties                                   OK   3 subtests passed
gobject - glib:dynamictests                                            OK   2 subtests passed
gobject - glib:dynamictype                                             OK   2 subtests passed
gobject - glib:enums                                                   OK   4 subtests passed
gobject - glib:flags                                                   OK   1 subtests passed
gobject - glib:gobject-private                                         OK   3 subtests passed
gobject - glib:ifaceproperties                                         OK   7 subtests passed
gobject - glib:max-version                                             OK   1 subtests passed
gobject - glib:notify-init                                             OK   1 subtests passed
gobject - glib:notify-init2                                            OK   1 subtests passed
gobject - glib:object                                                  OK   2 subtests passed
gobject - glib:objects-refcount1                                       OK   1 subtests passed
gobject - glib:override                                                OK   1 subtests passed
gobject - glib:param                                                   OK   31 subtests passed
gobject - glib:properties                                              OK   14 subtests passed
gobject - glib:properties-introspection                                OK   2 subtests passed
gobject - glib:properties-refcount1                                    OK   1 subtests passed
gobject - glib:properties-refcount4                                    OK   1 subtests passed
gobject - glib:qdata                                                   OK   2 subtests passed
gobject - glib:reference                                               OK   29 subtests passed
gobject - glib:references                                              OK   4 subtests passed
gobject - glib:signal-handler                                          OK   7 subtests passed
gobject - glib:signalgroup                                             OK   9 subtests passed
gobject - glib:signals                                                 OK   32 subtests passed
gobject - glib:signals-refcount1                                       OK   1 subtests passed
gobject - glib:signals-refcount2                                       OK   1 subtests passed
gobject - glib:signals-refcount3                                       OK   1 subtests passed
gobject - glib:signals-refcount4                                       OK   1 subtests passed
gobject - glib:singleton                                               OK   2 subtests passed
gobject - glib:testing                                                 OK   1 subtests passed
gobject - glib:threadtests                                             OK   5 subtests passed
gobject - glib:type                                                    OK   6 subtests passed
gobject - glib:type-flags                                              OK   4 subtests passed
gobject - glib:value                                                   OK   9 subtests passed
gobject+cpp - glib:cxx                                                 OK
gobject+cpp - glib:cxx-03                                              OK
gobject+cpp - glib:cxx-11                                              OK
gobject+cpp - glib:cxx-14                                              OK
gobject+cpp - glib:cxx-17                                              OK
gobject+cpp - glib:cxx-20                                              OK
gobject+cpp - glib:cxx-23                                              OK
gobject+cpp - glib:cxx-2c                                              OK
gobject+cpp - glib:cxx-98                                              OK
gobject+no-valgrind - glib:genmarshal.py                               OK   8 subtests passed
gobject+no-valgrind - glib:gobject-query.py                            OK   4 subtests passed
gobject+no-valgrind - glib:mkenums.py                                  OK   38 subtests passed
gobject+performance+no-valgrind - glib:performance                     OK
gobject+performance+no-valgrind - glib:performance-threaded            OK
gobject+slow - glib:closure-refcount                                   OK   1 subtests passed
gobject+slow - glib:objects-refcount2                                  OK   1 subtests passed
gobject+slow - glib:properties-refcount2                               OK   1 subtests passed
gobject+slow - glib:properties-refcount3                               OK   1 subtests passed
gthread - glib:init                                                    OK   2 subtests passed
gthread+no-valgrind+pkg-config - glib:gthread-2.0-pkg-config           OK
lint+no-valgrind - glib:black.sh                                       SKIP
lint+no-valgrind - glib:check-missing-install-tag.py                   OK   1 subtests passed
lint+no-valgrind - glib:flake8.sh                                      SKIP
lint+no-valgrind - glib:reuse.sh                                       SKIP
lint+no-valgrind - glib:shellcheck.sh                                  SKIP

Summary of Failures:

glib+core - glib:mapping                                               ERROR   killed by signal 16 SIGUSR1
glib+core - glib:convert                                               ERROR   killed by signal 6 SIGABRT
